Vorname;Nachname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
Regina;Wagner;1964;CDU;;BW;27
Sascha;Wagner;1972;NPD;210;;
Susanne;Wagner;1953;MLPD;;TH;6
Monika;Wagschal;1954;SPD;;BB;10
Christoph;Waitz;1960;FDP;155;;
Ingo Peter;Walde;1945;NPD;;ST;3
Björn;Walden;1983;SPD;205;RP;14
Silvio;Waldheim;1960;NPD;275;;
Thomas;Waldheim;1960;DIE LINKE;68;;
Michael;Waldow;1971;;18;;
Stefan;Walesch;1988;PIRATEN;;ST;4
Kirsten;Wallbraun;1962;ödp;137;NW;2
Dr. Gabriele Anna;Wallenstein;1947;MLPD;;BB;1
Klaus;Wallenstein;1943;MLPD;115;NW;15
Max D.;Walser;1952;BP;252;;
Bruno;Walter;1961;VIOLETTEN;;BY;1
Helmut;Walter;1952;NPD;30;;
Markus;Walter;1975;NPD;211;;
Uli;Walter;1945;FDP;291;BW;30
Mechthild;Walter von;1939;ödp;221;BY;1
Beate;Walter-Rosenheimer;1964;GRÜNE;216;BY;11
Claudia;Walther;1963;SPD;;NW;44
Leo;Wandersleb;1977;PIRATEN;;BY;4
Marco;Wanderwitz;1975;CDU;164;;
Dr. Joseph;Wandl;1950;DIE LINKE;229;;
Franz-Markus;Wantscha;1948;BüSo;;BY;19
Cornelia Maria;Wasner-Sommer;1965;CSU;;BY;36
Karl-Josef;Wasserhövel;1962;SPD;85;;
Halina;Wawzyniak;1973;DIE LINKE;84;BE;5
Andreas;Weber;1980;BüSo;;HE;2
Andreas;Weber;1979;CDU;;NI;47
Bernd;Weber;1979;SPD;;SL;10
Erwin Willi;Weber;1947;;101;;
Florian;Weber;1963;BP;223;BY;1
Karin;Weber;1951;MLPD;;HE;5
Matthias;Weber;1985;FDP;;HE;40
Patrick;Weber;1983;NPD;191;TH;4
Peter;Weber;1949;ödp;;RP;12
Volker Helmut;Weber;1962;FDP;196;;
Elke;Weckner-Lömm;1958;FDP;75;;
Dirk;Wedel;1974;FDP;106;NW;45
Dr. Christina- Elisabeth;Wedelstaedt von;1965;CDU;;SH;21
Bastian Immanuel;Wefes;1982;DIE LINKE;105;;
Maximilian Anton;Wegele;1966;ödp;255;BY;11
Daniela;Wegener;1974;NPD;148;;
Gunnar;Wegener;1953;SPD;;NI;56
Sabine Barbara;Wegmann;1952;DIE LINKE;;NI;20
Kai Peter;Wegner;1972;CDU;79;BE;5
Jürgen;Wehner;1965;NPD;264;;
Sven;Wehrend;1987;PIRATEN;;BE;4
Dr. Ingrid;Weible;1947;MLPD;;BW;4
Hans;Weide;1937;ADM;;BW;1
Michael;Weidner;1948;MLPD;289;;
Heiko;Weiershäuser;1963;SPD;;HE;33
Nils;Weigand;1976;FDP;171;HE;16
Andreas;Weigel;1964;SPD;166;SN;7
Florian;Weigel;1988;CDU;;HB;6
Anton;Weigl;1963;BP;;BY;48
Sebastian;Weigle;1978;SPD;289;BW;25
Rüdiger;Weil;1977;SPD;;HE;26
Gerd;Weiland;1950;;43;;
Stephan;Weiland;1985;CDU;;TH;14
Harald;Weinberg;1957;DIE LINKE;244;BY;4
Marcus;Weinberg;1967;CDU;20;HH;3
Angelika;Weinfurtner;1959;SPD;;NI;53
Peter;Weinlich;1977;FDP;245;BY;32
Ingrid;Weinmann;1942;BP;;BY;49
Wolfgang;Weinsziehr;1943;RRP;49;;
Günther;Weishäupl;1967;DVU;;BY;1
Peter Georg;Weispfenning;1967;MLPD;142;;
Christian;Weiß;1960;DKP;;BE;14
Emmi Paula;Weiß;1935;FDP;;BY;36
Peter;Weiß;1956;CDU;283;;
Robert;Weiß;1971;ödp;;RP;15
Sabine Katharina;Weiss;1958;CDU;114;NW;24
Wolfgang;Weiß;1961;GRÜNE;238;;
Dirk;Weissleder;1969;FDP;48;NI;15
Felix;Weitenhagen;1977;MLPD;79;BE;2
Gabriele;Weiter;1957;ödp;;RP;14
Norbert;Welk;1964;PIRATEN;259;;
Lukas Volkmar;Welke;1955;;161;;
Ingo;Wellenreuther;1959;CDU;271;BW;6
Karl-Georg;Wellmann;1952;CDU;80;BE;2
Sigrid;Wellmann;1958;Die Tierschutzpartei;176;;
Alfred Wilhelm;Welzhofer;1961;PIRATEN;;TH;7
Prof. Dr. Helmut Adolph Wilhelm;Wenck;1935;CDU;;NW;57
Willi Kurt;Wende;1947;;85;;
Michael;Wendl;1950;DIE LINKE;220;BY;12
Katrin;Wendlandt;1968;REP;;BB;4
Marian;Wendt;1985;CDU;;SN;10
Walter;Wendt-Kleinberg;1948;DIE LINKE;145;;
Martin;Weng;1978;CDU;;BW;25
Karsten;Wengelinski;1963;REP;;MV;1
Elvira;Wengenroth;1961;PBC;;RP;7
Jörg;Wenghöfer;1964;SPD;;SH;23
Felizitas;Wennmacher;1952;DIE LINKE;109;NW;32
Renate;Werlberger;1955;NPD;220;;
Elisabeth;Werle;1962;VIOLETTEN;;BW;9
Daniel;Werner;1977;SPD;155;SN;13
Elsbeth;Werner;1945;VIOLETTEN;;BW;11
Karsten;Werner;1984;BüSo;154;SN;5
Katrin;Werner;1973;DIE LINKE;204;RP;3
Reinhard;Wersing;1940;ödp;;NW;4
Gudrun Elisabeth;Wesener;1959;MLPD;;SN;8
Claudia;Wesner;1971;CDU;;HE;38
Herbert;Wessel;1951;DIE LINKE;132;;
Dr. Dirk;Weßlau;1961;;60;;
Claudia Hannelore;Weßling;1985;SPD;;BY;49
Waldemar;Westermayer;1953;CDU;;BW;20
Dr. Guido;Westerwelle;1961;FDP;97;NW;1
Angela;Westfehling;1956;FDP;;HH;5
Benjamin;Westphal;1988;PIRATEN;;ST;5
Maaret;Westphely;1974;GRÜNE;43;;
Wolfgang;Wettlaufer;1948;ödp;;BW;12
Dr. Margrit;Wetzel;1950;SPD;31;NI;23
Hans;Wetzelsberger;1949;RRP;;BY;11
Kai;Whittaker;1985;CDU;;BW;28
Matthias;Wichmann;1973;NPD;86;BE;8
Peter;Wichtel;1949;CDU;185;HE;12
Andrea;Wicklein;1958;SPD;62;BB;4
Jürgen;Widder;1973;NPD;294;;
Annette;Widmann-Mauz;1966;CDU;290;BW;4
Hans-Gerd;Wiechmann;1949;DVU;;NI;1
Christel;Wieck;1958;FDP;;RP;23
Heidemarie;Wieczorek-Zeul;1942;SPD;179;HE;1
Cornelia;Wiedemeyer;1961;SPD;;HB;2
Volker;Wiederstein;1965;PBC;;RP;5
Dr. Dieter;Wiefelspütz;1946;SPD;146;NW;45
Daniel;Wiegenstein;1958;MLPD;70;ST;7
Dieter August Karl;Wiegräfe;1935;DVU;;NI;4
Wolfgang;Wieland;1948;GRÜNE;76;BE;2
Margarete;Wiemer;1954;DIE LINKE;182;;
Christoph;Wiemers;1973;FDP;137;;
Roberto;Wienzek;1983;BüSo;;SN;4
Patrick;Wieschke;1981;NPD;190;TH;2
Heinz;Wiese;1945;CDU;;BW;15
Rita;Wiesend;1960;ödp;235;BY;37
Theodor;Wieser;1949;CM;;BY;5
Claudia;Wiest;1967;ödp;233;BY;3
Susanne;Wiest;1967;;16;;
Dr. Frank-Eberhard;Wilde;1937;ödp;;TH;3
Peter;Wildenradt von;1957;;5;;
Sabine;Wilhelm;1965;SPD;211;RP;8
Ralf Heinrich;Wilhelmi;1952;FDP;201;RP;6
Maria Hilde;Wilke;1950;;15;;
Björn;Willenberg;1983;PIRATEN;;NI;8
Klaus-Peter;Willsch;1961;CDU;178;HE;16
Dr. Valerie;Wilms;1954;GRÜNE;7;SH;3
Herbert;Wilzek;1953;DIE LINKE;292;BW;8
Edna;Windecker;1946;NPD;188;HE;6
Gert;Winkelmeier;1956;DIE LINKE;199;;
Elisabeth;Winkelmeier-Becker;1962;CDU;98;NW;21
Elisabeth;Winkler;1971;ödp;217;BY;38
Josef Philip;Winkler;1974;GRÜNE;200;RP;2
Manfred;Winkler;1949;;266;;
Marco;Winkler;1989;DIE LINKE;;BY;25
Ursula;Winkler;1939;NPD;20;HH;4
Heike Christine;Winter;1971;SPD;;RP;21
Mario;Winter;1982;NPD;203;;
Susanna;Winter;1954;CDU;;BW;32
Wilhelm Friedrich;Winter;1940;BüSo;;BY;18
Wolfgang;Winter;1957;RRP;;BY;16
Dr. Claudia;Winterstein;1950;FDP;42;NI;2
Thorsten;Wirth;1968;PIRATEN;;HE;1
Claudia;Wirth-Schusser;1968;Tierschutz;;BY;2
Konrad;Wirtz;1955;BP;216;BY;50
Jürgen;Wischnat;1943;MLPD;;SH;4
Dr. Volker;Wissing;1970;FDP;212;RP;2
Engelbert;Wistuba;1953;SPD;71;;
Jan Christopher;Witt;1985;FDP;23;HH;9
Britta;Witte;1959;CDU;;NI;48
Dr. Christa;Wittern;1943;FDP;;HE;30
Mechthilde;Wittmann;1967;CSU;;BY;39
Dieter;Woche;1938;NPD;62;;
Dr. Wolfgang;Wodarg;1947;SPD;1;SH;10
Dagmar;Wöhrl;1954;CSU;244;BY;6
Wolfgang;Wöhrmann;1952;MLPD;;NW;20
Bernd Hinrich;Wölbern;1966;SPD;;NI;40
Günther;Wohlert;1970;NPD;;MV;10
Rüdiger;Wohltmann;1959;DIE LINKE;53;NI;30
Gerhard;Woitzik;1927;ZENTRUM;;NW;1
Dieter;Woizik;1934;Volksabst.;;NW;5
Marcel;Wojnarowicz;1976;;116;;
Andreas;Wolf;1981;NPD;51;;
Martin Josef;Wolf;1962;FDP;6;SH;9
Sylvio Peter;Wolf;1967;NPD;;HB;4
Harald;Wolfert;1956;GRÜNE;101;NW;22
Harald;Wolff;1958;DKP;;BE;12
Hartfrid;Wolff;1971;FDP;264;BW;5
Leon;Wolff;1957;GRÜNE;155;;
Ulrike;Wolff;1952;BüSo;;NW;3
Waltraud Katharina;Wolff;1956;SPD;68;ST;1
Klaus Dieter;Wolframm;1959;SPD;159;SN;15
Patrick;Wolter;1970;PIRATEN;;NW;3
Thomas;Wolters;1962;FDP;117;NW;51
Barbara;Woltmann;1957;CDU;;NI;36
Jutta;Wonnemann;1950;FDP;131;NW;33
Sylvia;Wowretzko;1955;SPD;;HH;4
Alexander;Wright;1987;GRÜNE;;HE;14
Vera;Wucherpfennig;1981;CDU;;NI;42
Wolfgang;Wüst;1965;NPD;276;;
Thomas;Wulff;1963;NPD;11;SH;3
Dr. Edgar;Wunder;1969;DIE LINKE;277;;
Heinz;Wunderlich;1953;;239;;
Jörn Heinz Adolf;Wunderlich;1960;DIE LINKE;164;SN;8
Christoph;Wunnicke;1971;GRÜNE;66;;
Alexander Frederik;Wunschik;1980;PIRATEN;243;;
Engelbert;Wurm;1942;DIE LINKE;225;BY;22
Christopher;Wuttke;1973;CDU;41;NI;29
Roland;Wuttke;1954;NPD;216;;
Bülent;Yorulmaz;1969;;83;;
Dieter;Zager;1938;RRP;28;NI;14
Dr. Paul Helmut August;Zagermann;1940;MLPD;;SN;3
Petra Inge;Zais;1957;GRÜNE;163;SN;3
Uta;Zapf;1941;SPD;185;HE;8
Ronny;Zasowk;1986;NPD;65;BB;2
Hubertus;Zdebel;1954;DIE LINKE;130;;
Peggy;Zecha;1967;SPD;;BB;12
Irmgard;Zecher;1920;GRÜNE;;BW;17
Ralf-Peter;Zecher;1960;NPD;105;NW;13
Prof. Dr. Christoph;Zeitler;1960;FDP;228;BY;25
Thomas;Zenker;1961;SPD;66;BB;13
Helga;Zepp-LaRouche;1948;BüSo;76;BE;1
Signe;Zerrahn;1962;GRÜNE;;BE;7
Sören;Zetzsche;1976;PIRATEN;;BB;5
Dagmar;Ziegler;1960;SPD;57;BB;2
Heinz Kurt;Ziegler;1953;MLPD;;BY;13
Kurt;Ziegler;1936;ADM;;BW;8
Martin Alexander;Ziegler;1972;DVU;;RP;2
Norbert;Ziegler;1963;FDP;235;BY;50
Patrick;Ziegler;1987;MLPD;;BY;6
Torsten;Ziegler;1983;NPD;269;;
Hans-Jürgen;Zierus;1946;DIE LINKE;120;;
Dr. Tamara;Zieschang;1970;CDU;63;BB;7
Stefan;Ziller;1981;GRÜNE;86;BE;6
Prof. (FH) Dr. Bernhard;Zimmer;1961;GRÜNE;225;;
Dr. Matthias;Zimmer;1961;CDU;182;HE;21
Adelheid;Zimmermann;1949;FDP;248;BY;31
Anna;Zimmermann;1976;MLPD;;SN;5
Elisabeth;Zimmermann;1956;PSG;;NW;2
Jan;Zimmermann;1977;NPD;24;HH;2
Jens Uwe;Zimmermann;1963;FDP;;SN;11
Sabine;Zimmermann;1960;DIE LINKE;166;SN;5
Dr. Steffen;Zimmermann;1973;CDU;;RP;40
Brigitte;Zimmitsch;1947;REP;;HE;12
Mareike;Zingsem;1982;DIE LINKE;170;HE;7
Robert;Zion;1966;GRÜNE;124;;
Jana;Zirra;1979;SPD;282;BW;21
Wolfgang;Zöller;1942;CSU;249;BY;15
Manfred;Zöllmer;1950;SPD;103;NW;50
Zarah;Zorko;1979;MLPD;;SL;4
Waltraud;Zorn;1938;MLPD;;SN;2
Gerhard;Zuleger;1939;REP;;BW;18
Paul;Zundel;1952;;272;;
Werner;Zuse;1949;BüSo;221;BY;1
Willi;Zylajew;1950;CDU;92;NW;23
Brigitte;Zypries;1953;SPD;186;HE;3
